P,I,D,a,b,motor_limit,Pulse_width,Home_Position,ユニット名,リンクの長さ
0.3,0.5,0.8,1,1,100,100,130,parallel_link,80
0.3,0.5,0.8,1,1,0,Non,100,Non,100
3,0,0,0,0,0,Non,0,Non,50
0,2,0,0,0,0,Non,Non,Non,0
0,0,1,0,0,0,Non,Non,Non,0
0,0,0,0,0,0,Non,Non,Non,0
